indicator_code,report_id,calculate_type,remark
"memberRepurchaseTranTimes","3","7","复购会员消费频次-会员复购次数/复购会员数"
"saleAmt","2","0","销售额-原价销售额减去日结相关优惠金额后剩余的结算金额"
"custNum","1","0","来客数-按销售小票ID统计的订单数"
"bf19CustNum","2","0","19点前客数-门店清仓时段前的来客数"
"bf12CustNum","1","0","12点前客数-门店截止至12:00分前的订单id求和"
"perCustAmt","2","0","客单价-销售额/来客数"
"bf19PerPieceAmt","1","0","19点前件单价-门店19点前销售额/19点前销售件数"
"bf19AvgPieceNum","1","0","19点前单均件数-门店19点前销售件数/19点前客数"
"saleReturnRate","1","0","顾客退货率-顾客类门店退货额/出库到店金额"
"offlineSaleAmt","1","0","线下销售额-销售额-线上销售额"
"nextDaySaleAmt","1","0","次日达销售额-销售渠道销售额-次日达渠道"
"ontimeSaleAmt","1","0","及时达销售额-销售渠道销售额-及时达渠道"
"profitAmt","2","0","门店毛利额-门店毛利额"
"profitRate","1","0","门店毛利率-门店毛利额/销售额"
"prePriceProfitRate","1","0","定价毛利率-(理论销售额-(理论进货额+期初库存金额-期末库存金额))/理论销售额"
"scmPromotionTotalRate","1","0","出库折让率-出库让利总额/(出库到店金额+出库让利总额)"
"hourDiscountRate","1","0","时段折扣率-时段折扣额/原价销售额"
"promotionDiscountRate","1","0","促销折扣率-促销折扣额/原价销售额"
"lostRate","1","0","损耗率-门店损耗额/(门店进货额+期初库存金额-期末库存金额)"
"lossRate","1","7","门店不良率-不良门店数/纳入不良率统计门店数"
"headLossRate","1","7","头部门店不良率-不良门店数/纳入不良率统计门店数"
"upperLossRate","1","7","中上门店不良率-不良门店数/纳入不良率统计门店数"
"lowerLossRate","1","7","中下门店不良率-不良门店数/纳入不良率统计门店数"
"tailLossRate","1","7","尾部门店不良率-不良门店数/纳入不良率统计门店数"
"storeTotalFee","1","1","门店费用-日、周维度按照店日均统计，月维度按照汇总方式统计"
"storeTotalSalary","1","1","员工工资-日、周维度按照店日均统计，月维度按照汇总方式统计"
"storeDormTotalRent","1","1","租金和物业管理费-日、周维度按照店日均统计，月维度按照汇总方式统计"
"waterRent","1","1","店铺水电费-日、周维度按照店日均统计，月维度按照汇总方式统计"
"storeOtherFee","1","1","门店其他支出-日、周维度按照店日均统计，月维度按照汇总方式统计"
"execTotalScore","1","7","执行得分-avg(品质交付得分+墨香庭执行率)"
"mxtExecRate","1","7","墨香庭执行率-AVG(订购执行率+丰富度执行率+促销执行率+陈列执行率)"
"orderExecRate","1","7","订购执行率-订购达标店日数/墨香庭营业店日数"
"assortmentExecRate","1","7","丰富度执行率-丰富度达标店日数/墨香庭门店营业店日数"
"promotionExecRate","1","7","促销执行率-促销SKU数大于16的墨香庭门店日数/墨香庭门店日数"
"displayExecRate","1","7","陈列执行率-陈列达成店日数/营业店日数"
"qualityDeliveryScore","1","0","品质交付得分-综合门店选点、客诉情况计算的平均品质得分"
"receiveWeight","1","0","进货重量-出库到店重量-门店调拨重量-门店退货重量"
"storeOrderWeight","1","0","订购重量-订购数量*商品资料表中订购商品的单位重量"
"stockStores","1","7","存量门店数-门店状态为营业中和停业中的门店数"
"increaseStores","1","7","净增门店数-新开门店数-闭店门店数"
"unopenStores","1","7","待开业门店数-门店状态=待开业的门店数"
"stop30dayStores","1","7","停业超30天门店数-近180天累计>30天门店19点前线下销售额<=500的门店数"
"breakEvenPoint","1","1","盈亏平衡点-日、周维度用店日均方式统计，月维度用汇总方式统计"
"lossStoreRate","1","7","亏损门店占比-门店毛利额<盈亏平衡点的门店数/营业门店数"
"allowanceProfitAmt","1","0","补贴后毛利额-门店补贴额+门店毛利额"
"laborEffective","1","7","人效-销售额/门店员工人数"
"storeNum","1","0","门店人数-根据用工模型统计的门店当前的用工人数"
"storeManagerNum","1","7","店长人数-通过人资用工模型逻辑计算出门店营业所需的店长人数"
"storeAssistantNum","1","7","店助人数-通过人资用工模型逻辑计算出门店营业所需的店助人数"
"partitionerNum","1","7","分割师人数-通过人资用工模型逻辑计算出门店营业所需的分割师人数"
"storeSaleNum","1","7","营业员人数-通过人资用工模型逻辑计算出门店营业所需的营业员人数"
"outStockPayAmt","4","0","出库到店金额"
"kpiScore","4","7","商品绩效得分-根据熵权法计算商品的平均得分"
"scmFinArticleProfitNotaxRate","4","7","供应链毛利率（不含税）-供应链总利润占出库收入的比例"
"outstockTotalAmt","4","7","供应链商品收入-出库到店金额+toB出库金额"
"storeOrderAmt","4","0","门店订购金额"
"satisfiedRate","4","7","订单满足率-进货金额/订购金额"
"stores","4","7","营业门店数-营业时间大于开业时间且19点前线下销售额>500的门店"
"openStores","4","7","开店数-统计周期内的实际开店数"
"openGoalFinishRate","4","7","开店目标完成率-开店数/预算开店数"
"closeStores","4","7","闭店数-按闭店日期统计的门店数"
"closeGoalFinishRate","4","7","闭店目标完成率-闭店数/预算闭店数"
"stopBusinessStores","4","7","停业门店数-门店状态=停业中的门店数"
"storeReturnRate","4","0","门店退货率-门店退货额(中台)/出库到店金额"
"storeReturnAmtShop","4","7","门店退货额(中台)-门店退货到仓库的退货金额"
"otherOutstockAmt","4","7","其他出库金额-TOB销售额+调拨出库金额"
"scmFinArticleProfitNotax","4","7","供应链到店毛利额(不含税)-财务核算的供应链业务总利润金额"
"scmStoreProfitNotaxRate","4","0","供应链到店毛利率(不含税)-供应链到店毛利额/出库到店金额"
"preScmProfitRate","4","0","供应链预期毛利率-供应链预期毛利额/预期出库到店金额"
"scmPromotionTotalRate","4","0","供应链让利占比-出库让利总额/(出库到店金额+出库让利总额)"
"scmLostRate","4","7","供应链损耗率-损耗金额占出库成本的占比"
"companyOtherIncome","4","7","公司其他收入-除供应链商品收入和直营店销售收入之外的其他收入"
"manageFranchiseFee","4","7","加盟费收入-品牌使用费+加盟费收入"
"directStoreIncome","4","7","直营店收入"
"companyTotalFeeRate","4","7","公司总费用率-公司总的费用支出占公司收入的占比"
"companyTotalFee","4","7","公司总费用-公司总的费用支出金额"
"companyPromotionAllowanceFeeRate","4","7","宣传促销补贴费用率-宣传促销费额占公司收入的占比"
"companyPromotionAllowanceFee","4","7","宣传促销补贴费-用于支持门店经营及门店营销的费用额"
"companyPromotionFeeRate","4","7","宣传促销费用率-宣传促销费额占公司收入的占比"
"companyPromotionFee","4","7","宣传促销费-次日达电商营销费+到家电商营销费+其他宣传促销费"
"companyAllowanceFeeRate","4","7","补贴费用率-补贴费用占公司收入的占比"
"companyAllowanceFee","4","7","补贴费用-新店补贴+装修返利补贴+其他补贴"
"companyLogisticsFeeRate","4","7","物流费用率-物流费占公司收入的占比"
"companyLogisticsFee","4","7","物流费-供应链出库仓配到店产生的物流费用"
"companyRentFeeRate","4","7","租金费用率-租金费用额占公司收入的占比"
"companyRentFee","4","7","租金费用-公司总额租金支出"
"companyStaffFeeRate","4","7","人员费用率-人员费用占公司收入的占比"
"companyStaffFee","4","7","人员费用-供应链人工+运营人工+总部员工费用总额"
"companyOtherFeeRate","4","7","其他费用率-其他费用占公司收入的占比"
"companyOtherFee","4","7","其他费用-除物流、租金、人员费用、宣传促销费、补贴费之外的其他费用"
"ebitdaCompanyProfit","4","7","公司税息前利润(EBITDA)"
"directStoreProfitAmt","4","7","直营店毛利额-直营店销售额-(直营店进货额+期初库存-期末库存)"
"storeBusinessIncome","4","7","门店业务收入-供应链收入+直营店收入"
"storeBusinessProfit","4","7","门店业务利润-供应链毛利+直营店毛利"
"directStoreSaleAmt","4","7","直营店销售额"
"bf19CustNum","2","0",""
"bf19AvgPieceNum","2","0",""
"hourDiscountRate","2","0",""
"promotionDiscountRate","2","0",""
"lostRate","2","0",""
"brandProductEffectiveness","2","0","本期替代绩效得分进行展示"
"storeOrderArticleNum","2","0",""
"canOrderArticleNum","2","0",""
"fullLinkStoreProfitNotaxRate","2","0",""
"profitRate","2","0",""
"bf19SaleAmt","2","0",""
"bf19SaleWeight","2","0",""
"bf19CategoryStoreCustRate","2","0",""
"bf19PerCustAmt","2","0",""
"bf19PerSaleWeight","2","0","详细开发逻辑查看那文档：公司级管理报表复杂指标开发说明文档"
"scmStoreProfitNotaxRate","2","0",""
"scmPromotionTotalRate","2","0",""
"af19CustNum","2","0",""
"af19SaleAmt","2","0",""
"orderArticleRate","2","0",""
"orderStores","2","0",""
"storeCanOrders","2","0",""
"bf19CustRate","2","0",""
"preProfitRate","2","0",""
"bf19SaleRate","2","0",""
"kpiScore","2","7","本期先不展示时，等品类运营平台上线并稳定后再接入次数据，本期使用品效指标替代展示"
"orderStoreRate","2","7",""
"scmFinArticleProfitNotaxRate","2","7",""
"bf19MemberRepurchaseRate","2","7",""
"priceIndex","2","7","详细开发逻辑查看那文档：公司级管理报表复杂指标开发说明文档"
"prePriceProfitRate","2","7",""
"avgBf19SalePrice","2","7",""
"purchasePriceIndex","2","7",""
"priceAdjustArticleNum","2","7","详细开发逻辑查看那文档：公司级管理报表复杂指标开发说明文档"
"avgPurchasePriceNotax","2","7",""
"activeVenderNum","2","7","详细开发逻辑查看那文档：公司级管理报表复杂指标开发说明文档"
"centralInstockRate","2","7","详细开发逻辑查看那文档：公司级管理报表复杂指标开发说明文档"
"threeRateScore","2","7",""
"vendorAccuracyRate","2","7",""
"vendorIntimeRate","2","7",""
"vendorQualificationRate","2","7",""
"satisfiedRate","2","7",""
"custPenetrationRate","2","7","每个品类的客流渗透率，取每个品类的来客数除以门店总的覆盖户数"
"stores","1","7",""
"openStores","1","7",""
"closeStores","1","7",""
"stopBusinessStores","1","7",""
"companyBusinessIncome","4","7","消费会员数-按销售小票标识的会员ID去重计数"
"financeScmIncome","4","7","消费会员数-按销售小票标识的会员ID去重计数"
"companyProfit","4","7","消费会员数-按销售小票标识的会员ID去重计数"
"otherBusinessProfit","4","7","消费会员数-按销售小票标识的会员ID去重计数"
"financeScmProfit","4","7","消费会员数-按销售小票标识的会员ID去重计数"
